Epoch,Accuracy,loss
0,57.8,1.172907532
1,61.03,1.204892458
2,67.72,0.970796441
3,77.33,0.656443386
4,81.52,0.541038837
5,75,0.729302664
6,78.42,0.646132694
7,79.43,0.593758673
8,82.22,0.528384895
9,82.19,0.549268261
10,82.81,0.521087429
11,85.17,0.44248121
12,86.54,0.396451608
13,87.52,0.375135892
14,87.64,0.365538841
15,78.25,0.692782112
16,80.01,0.613056644
17,80.62,0.594080915
18,76.75,0.763826158
19,80.56,0.600684265
20,83.11,0.518294908
21,85.85,0.418950867
22,84.14,0.495650082
23,86.33,0.407640338
24,84.61,0.470798419
25,87.54,0.386353127
26,87.34,0.385668403
27,88.9,0.342974942
28,88.54,0.356776008
29,89.23,0.347381117
30,89.67,0.333872597
31,89.95,0.327728919
32,90.11,0.312923703
33,90.05,0.313582937
34,90.33,0.309044227
35,78.91,0.700703058
36,84.03,0.494102965
37,82.47,0.580133108
38,85.1,0.46213892
39,78.23,0.727472069
40,82.78,0.5392962
41,85.75,0.447612265
42,83.56,0.565074704
43,83.68,0.519501957
44,82.96,0.566473382
45,85.46,0.458690095
46,86.7,0.414034721
47,88.81,0.35818173
48,86.35,0.441320156
49,86.45,0.426191869
50,85.37,0.491750176
51,85.98,0.455499609
52,87.14,0.41303801
53,88.1,0.381050299
54,87.86,0.400559844
55,86.61,0.448903948
56,89.1,0.349300958
57,88.26,0.392266466
58,88.49,0.368582743
59,88.03,0.401852659
60,89.48,0.34879572
61,88.94,0.373250948
62,89.67,0.345948125
63,89.96,0.338129949
64,89.99,0.346534801
65,90.09,0.334119422
66,90.41,0.338965801
67,90.39,0.331174924
68,90.73,0.330011872
69,90.23,0.337532365
70,90.73,0.326542531
71,90.76,0.329036559
72,90.72,0.323276623
73,90.83,0.325022364
74,90.63,0.326124925
75,82.23,0.602179164
76,80.44,0.691746974
77,84.24,0.50567746
78,83.8,0.537938296
79,84.56,0.499913064
80,82.41,0.594193207
81,86.32,0.431553963
82,84.27,0.506503251
83,85.19,0.462938111
84,87.19,0.421176917
85,83.73,0.569568104
86,86.55,0.438658891
87,83.44,0.542125399
88,83.81,0.550000014
89,85.23,0.488799603
90,83.67,0.578415104
91,86.65,0.433333778
92,85.76,0.528382243
93,87.04,0.411099121
94,87.05,0.421385111
95,85.85,0.476373352
96,86.81,0.427091855
97,86.82,0.43919041
98,87.29,0.421618469
99,87.69,0.397480524
100,86.9,0.456933854
101,86.82,0.463745338
102,88.19,0.391216857
103,88.25,0.391747214
104,87.25,0.431108561
105,87.27,0.420463756
106,84.95,0.540566404
107,87.59,0.403887
108,88.59,0.388943
109,87.86,0.406955177
110,85.64,0.495132696
111,89.19,0.360070548
112,87.97,0.422620746
113,88.86,0.367853937
114,88.11,0.389723211
115,87.63,0.43647855
116,86.88,0.462595975
117,88.67,0.381045834
118,89.02,0.384525168
119,88.36,0.428041527
120,89.14,0.372010351
121,87.01,0.46659123
122,89.45,0.365230573
123,89.37,0.369421256
124,88.92,0.401083293
125,89.44,0.365536839
126,89.7,0.359772526
127,89.63,0.381263833
128,90.15,0.369422433
129,89.33,0.390902018
130,89.85,0.380885804
131,90.48,0.365966099
132,90.03,0.383007091
133,90.22,0.376259248
134,90.4,0.361147328
135,90.44,0.368053697
136,90.14,0.381908668
137,90.39,0.363204837
138,90.99,0.350135355
139,90.78,0.368726412
140,90.8,0.359979805
141,90.99,0.361988184
142,90.93,0.367614131
143,90.86,0.364838224
144,90.89,0.374901698
145,90.98,0.36900499
146,91.02,0.365644853
147,91.19,0.359497958
148,91.22,0.360229961
149,91.17,0.366027359
150,91.13,0.359401637
151,91.16,0.363212386
152,91.29,0.359287409
153,91.28,0.366077448
154,91.17,0.363411648
